anomalous            [ә'nɒmәlәs]                     adj.反常的，不规则的
anomaly              [ә'nɒmәli]                      n.异常、反常
anonymity            [,ænә'nimiti]                   n.无名、匿名
anonymous            [ә'nɒnimәs]                     adj.匿名的
anorexia             [,ænә'reksiә]                   n.厌食症
antagonism           [æn'tægәnizm]                   n.对抗，敌对，敌意
antagonist           [æn'tægәnist]                   n.敌手，对手
antagonize           [æn'tægәnaiz]                   v.使对抗；与…对抗
antecedence          [ˌæntəˈsi:dəns]                 n.居先，优先
antecedent           [,ænti'si:dnt]                  n.前事；前辈；a.先行的
antedate             [ˈæntɪˌdet]                     vt.(在历史上)比…为早; 早于; (在信、支票等上)填写比实际日期早的日期
antediluvian         [,æntidi'lu:viәn]               adj.史前的，陈旧的
antenna              [æn'tenә]                       n.触角，无线
anterior             [æn'tiәriә]                     adj.较早的，以前的
anthem               ['ænθәm]                        n.圣歌，赞美歌
anthology            [æn'θɒlәdʒi]                    n.诗集，文选
anthropoid           ['ænθrәupɒid]                   adj.像人类的，类人猿的
anthropologist       [,ænθrә'pɒlәdʒist]              n.人类学家
anthropology         [,ænθrә'pɒlәdʒi]                n.人类学
antibiotic           [,æntibai'ɒtik]                 n.抗生素，adj.抗菌的
antibody             ['æntibɒdi]                     n.抗体（身体中的抗病物质）
antic                ['æntik]                        adj　古怪的，笨拙的
anticipate           [æn'tisipeit]                   v.预期，期待
anticipatory         [ænˌtɪsəˈpəˌtorɪ]               adj预期的, 期待着的
anticlimax           [,ænti'klaimæks]                n.令人扫兴的结局
antics               ['æntiks]                       n.古怪滑稽的动作
antidote             ['æntidәut]                     n.解毒药
antigen              ['æntidʒәn]                     n.抗原（注射于动物体内，能使之产生抗体的物质）
antihistamine        [,ænti'histәmi:n]               n.(治疗过敏的)抗组胺剂
antipathy            [æn'tipәθi]                     n.反感，厌恶
antiquated           ['æntikweitid]                  adj陈旧的，过时的，
antique              [æn'ti:k]                       a.古时的，古老的；n.古物，古董
antiquity            [æn'tikwәti]                    n.古；古人；古迹
antiseptic           [,ænti'septik]                  n.杀菌剂，adj　防腐的
antithesis           [æn'tiθisis]                    n.对立，相对
antithetic           [ˌæntɪ'θetɪk']                  adj.对立的
antler               ['æntlә]                        n.鹿角，茸角
anvil                ['ænvil]                        n.铁砧
aorta                [ei'ɒ:tә]                       n.主动脉
apathetic            [,æpә'θetik]                    adj.冷漠的，无动于衷的
apathy               ['æpәθi]                        n.漠然，冷淡
aperitif             [əˌperəˈtiːf]                   n.开胃酒
aperture             ['æpә,tjuә]                     n.孔隙，窄的缺口
apex                 ['eipeks]                       n.顶点，最高点
aphasia              [ә'feizjә]                      n.失语症
aphorism             ['æfәrizm]                      n.格言（maxim）
apiary               ['eipjәri]                      n.养蜂场
apiculture           ['eipikʌltʃә]                   n.养蜂业
aplomb               [ә'plɒm]                        n.沉着，镇静
apocalyptic          [ә,pɒkә'liptik]                 adj.预示灾祸的，启示的
apocrypha            [əˈpɑkrəfə]                     n.伪经，伪书
apocryphal           [əˈpɑkrəfəl]                    adj.伪经的，假冒的
apogee               ['æpәudʒi:]                     n.远地点（太阳等距离地球最远的点）
apologetic           [ә,pɒlә'dʒetik]                 adj.道歉的，歉意的
apologize            [ә'pɒlәdʒaiz]                   v.道歉；辩解
apology              [ә'pɒlәdʒi]                     n.道歉，谢罪
apoplectic           [,æpәu'plektik]                 adj.中风的，易怒的
apostasy             [ә'pɒstәsi]                     n.背教，脱党
apostate             [ә'pɒsteit]                     n背教者，变节者
apostrophe           [ә'pɒstrәfi]                    n.书写中撇号(’)(表示省略或所有格)
apothecary           [ә'pɒθәkәri]                    n.药剂师
apotheosis           [ә,pɒθi'әusis]                  n.神化，典范
appal                [ә'pɒ:l]                        v.使惊骇，使恐怖
appall               [ә'pɒ:l]                        v.使惊骇，使恐怖
appalling            [ә'pɒ:liŋ]                      adj　骇人的，可怕的.
apparatus            [,æpә'reitәs]                   n.仪器，设备
apparel              [ә'pærәl]                       n.(精致的)衣服
apparition           [,æpә'riʃәn]                    n.幽灵，神奇的现象
appeal               [ә'pi:l]                        v.恳求；吸引；上诉
appealing            [ә'pi:liŋ]                      adj.吸引人的，打动人心的
appease              [ә'pi:z]                        v.使平静，安抚
appeasement          [ә'pi:zmәnt]                    n.平息，满足
appellation          [,æpә'leiʃәn]                   n.名称，称呼
appendage            [ә'pendidʒ]                     n.附加物
appetite             ['æpitait]                      n.欲望，食欲，爱好
appetizer            ['æpitaizә]                     n.开胃品
appetizing           ['æpitaiziŋ]                    a.美味可口的，促进食欲的
applaud              [ә'plɒ:d]                       v.鼓掌表示欢迎或赞赏
applause             [ә'plɒ:z]                       n.鼓掌，喝彩
applicable           ['æplikәbl]                     adj.生效的，适合的，
applicant            ['æplikәnt]                     n.申请人
application          [,æpli'keiʃәn]                  n.请求，申请；应用，应用程序
appoint              [ә'pɒint]                       v.任命，指定；约会
apposite             ['æpәuzit]                      a.适当的，恰当的
appraise             [ә'preiz]                       v.评价，鉴定
